City,State,Population,Density (per sq mi),Growth (10 yr),Cost of Living,Active Lifestyle,Total Score
Austin,Texas,978908,3031,23.85,107.7,93.71,93.50180222841226
Denver,Colorado,727211,4521,21.17,115.0,99.5,89.68878260869565
Atlanta,Georgia,506811,3539,20.67,102.1,83.32,88.5855044074437
Orlando,Florida,287442,2635,20.62,102.9,78.68,86.83196501457726
Durham,North Carolina,278993,2395,22.19,101.4,69.51,86.53425443786983
Gilbert,Arizona,254114,3487,21.9,100.0,67.92,86.256
Santa Clarita,California,212979,3446,20.79,100.0,70.54,85.71000000000001
Henderson,Nevada,320189,2798,24.23,100.0,54.19,84.93299999999999
Charlotte,North Carolina,885708,2757,21.09,99.4,63.52,84.20303420523139
Fort Worth,Texas,909585,2491,22.72,100.0,48.79,81.501
Port St. Lucie,Florida,201846,1557,22.63,103.0,44.73,79.02160194174756
